Name,HMIS Code,FacilityType,AgencyName,OperationalStatus,DistrictName,Latitude,Longitude,Address,ContactPhone,HasRefrigerator,HasPower,StaffCount,CatchmentRadius
BUKEDEA HEALTH CENTRE,11056452300,clinic,,,Bukedea,1.32936586,34.04269527,,,,,,
KIRINYA,11056451980,clinic,,,Jinja,0.41985779,33.22591326,,,,,,
HEALTH CENTRE II,11001694722,clinic,,,Kyotera,-0.54372605,31.66610268,,,,,,
ANAYVU,11066739666,hospital,,,Arua,2.67783756,30.86074679,,,,,,
PAANJARA H/C II,11054940369,hospital,,,Moyo,3.56685272,31.95046336,,,,,,
Drug Shop,6735301022,doctors,,operational,Rukungiri,-0.40773504,29.77529662,,,,,2,
Drug Shop,5789319881,doctors,,non operational,Obongi,3.43076079,31.57811944,,,,,0,
KAYONZA,11001694637,clinic,,,Rakai,-0.68714176,31.35841257,,,,,,
Green's Pharmacy,3393071090,pharmacy,,,Jinja,0.42471720,33.20739512,,,,,,
HEALTH CENTRE 111,11073166860,hospital,,,Nakasongola,1.45912543,32.42518057,,,,,,
ST MARTIN MABIRA,11029992872,hospital,,,Kyenjojo,0.79574449,30.74746110,,,,,,
KAABONG HOSPITAL,11080417499,hospital,,,Kaabong,3.51206693,34.13199230,,,,,,
Garia,5406574327,doctors,Individual based,operational,Madi Okollo,2.94190665,31.19527995,,,,,,
Sherry Pharmacy,3466160582,pharmacy,,,Wakiso,0.13840463,32.53866668,,,,,,
Rishan Pharmacy,3967544971,pharmacy,,,Kaliro,0.89532753,33.50598039,"Kisla Road, Kaliro",,,,,
Drug Shop,5215671203,pharmacy,Refugee,,Yumbe,3.46667825,31.36875827,,,,,,
Ngeribalya HC II,5606861,clinic,Ministry of Health,,Gomba,0.15023669,32.01779854,,,,,,
BUTALEJA HEALTH CENTRE III,9409475,clinic,,,Butaleja,0.91538182,33.95519910,,,,,,
Marry Drug Shop,6750035912,doctors,,operational,Kanungu,-0.91655805,29.59848968,,,,,1,
Seed Medical Center,8632128748,doctors,private,,Zombo,2.41973328,30.98670492,,,,,2,
Exodus Medical Clinic and Laboratory Services,10198909191,clinic,private,,Lira,2.26500000,32.90707329,Lira,,,,3,
Clinic,5338522790,doctors,No,operational,Arua,3.02930635,30.90305227,,,,,,
Herbal Research Clinic,4041947939,doctors,,,Jinja,0.64670025,33.17093744,"Kamuli Road, Buwenge Town Council",,,,,
Mascot Medical Clinic,4102726436,clinic,,,Kampala,0.27124446,32.60033494,"Boston Lane, Kampala",,,,,
Angela Medical Centre,610302663,doctor,,,Kampala,0.34238193,32.59501076,,,,,,
IMC Wandegeya Clinic,8963716810,clinic,private,,Kampala,0.33217956,32.57386204,,,,,6,
St. Jude Alelluia Clinic,10102878038,doctors,,,Omoro,2.76623797,32.24352772,,,,,,
NKONI,11001694779,clinic,,,Lwengo,-0.34355615,31.63778895,,,,,,
MUZADDE MARTENITY,11010338494,clinic,,,Mukono,0.50664745,32.75224177,,,,,,
SMC - Safe Male Circumscision,3994599525,clinic,,,Wakiso,0.20729155,32.53844305,,,,,,
Drug shop,5215672031,pharmacy,Refugee,,Yumbe,3.33616674,31.30335084,,,,,,
Ainamani vet clinic,5261975721,clinic,,,Rakai,-0.56380775,31.26347704,,,,,,
Joint Medical Centre,3996527072,clinic,,,Wakiso,0.20919784,32.53490203,,,,,,
HEALTH CENTRE 11,11073166852,hospital,,,Dokolo,2.05248983,32.91171854,,,,,,
Said M Dafalla Drug Shop,5573437716,pharmacy,Private,operational,Yumbe,3.42393163,31.15170998,,,,,1,
Bridge International Hospital,8457174017,hospital,,,Jinja,0.43984896,33.19116105,,,,,,
Rift Valley Medical Centre,5677238,clinic,,,Kampala,0.28549328,32.58158965,"Mobutu Road, Kampala",,,,,
HEALTH CENTRE 11,11001694556,clinic,,,Kyotera,-0.67303208,31.67967089,,,,,,
ASABA CO HERBAL CLINIC,11001478416,clinic,,,Kanungu,-0.80294244,29.80660948,,,,,,
MASAFU,11056451934,hospital,,,Busia,0.41260023,34.03458016,,,,,,
St Jude Drug Shop,8515853220,pharmacy,,,Wakiso,0.39146099,32.65947396,,,,,,
Bugoto Health Centre II,5904498,clinic,,,Mayuge,0.32096298,33.62803112,Mayuge,,,,,
IMC Kitgum House Clinic,4114253392,clinic,,,Kampala,0.31620047,32.59291562,"Jinja Road, Kampala",,,,,
Mandela Medical Center,10077679989,clinic,,,Kapchorwa,1.40041289,34.44240024,,,,,,
JOINT MEDICAL CENTRE,11029992859,hospital,,,Kazo,0.05839492,30.86227264,,,,,,
Iremera Health Center,9032325486,doctors,government,,Kisoro,-1.16528843,29.74709596,,,,,11,
Uganda Red Cross,3953213713,clinic,,,Mbale,1.07244687,34.17465249,"32, Maluku Road, mbale",,,,,
SAMARIA H/C II,7747756,clinic,,,Kanungu,-0.71994316,29.74720987,,,,,,
kigenda medical center,10184707805,hospital,,,Kassanda,0.43613276,31.70869088,"2986, Fort Portal - Kampala Road",,,,,
St Patrick Drug Shop,10583475435,clinic,private,,Hoima,1.43919168,31.34473993,Hoima,,,,,
Kal Guru Medical Centre II,5456940766,doctors,,,Amuru,3.02730576,32.08929374,,,,,,
RUBAARE HEALTH CENTRE IV,11001478320,hospital,,,Ntungamo,-1.01774690,30.18469325,,,,,,
JOLLY BIRD PAEDS CLINIC,10017709324,clinic,,,Mbale,1.07334767,34.18111176,,,,,,
MBUYA MILLITARY,11010338477,clinic,,,Kampala,0.33108136,32.62597384,,,,,,
Fr Bernado Satori Medical Centre,10020565445,doctors,,,Arua,3.07228875,30.93932085,,,,,,
KADAMA,11056452178,hospital,,,Kibuku,1.01674459,33.88681827,,,,,,
BWIKARA,11029992891,clinic,,,Kagadi,0.93995379,30.70407863,,,,,,
St Benedict Drug Shop,8274342561,pharmacy,private,,Kisoro,-1.33660824,29.67274672,,,,,1,
BUJALYA HEALTH CENTRE 11,11029992954,clinic,,,Kikuube,1.28988626,31.34211094,,,,,,
HEALTH CENTRE II,11010338238,clinic,,,Mukono,0.26837173,32.87886416,,,,,,
New Grace Medical Clinic,10583475474,clinic,private,,Hoima,1.43413789,31.35491883,Hoima,,,,,
MUZIZI CLINIC,11029993033,clinic,,,Kagadi,0.92091698,30.66497177,,,,,,
Nelton Clinic,10023811280,doctors,,,Arua,3.02583323,30.91296555,,,,,,
KYAFOORA HEALTH CENTRE II,4804090,clinic,,,Ntungamo,-0.91764871,30.06919364,,,,,,
KASHARE HEALTH CENTRE III,9769110,hospital,,,Mbarara,-0.36897653,30.62607605,,,,,,
Pagirinya Health Center II,5789319853,clinic,Medical Teams international,operational,Adjumani,3.38772667,32.01477493,,,,,6,
Peace Drug Shop,3995629936,pharmacy,,,Butaleja,0.92478154,33.98252737,"Butesa Road, Butaleja Town Council",,,,,
Mabuta Health Center,8457496718,hospital,,,Mukono,0.35916937,32.72338120,,,,,,
Ndejje Drug Shop,3775558136,pharmacy,,,Luwero,0.60370436,32.47610952,,,,,,
Okollo Trading Centre,5354389851,doctors,Non,operational,Madi Okollo,2.65204812,31.14558205,,,,,,
Blessed Medical Clinic,8458560019,clinic,,,Kampala,0.36290426,32.62450776,Naalya Road,,,,,
HEALTH CENTRE 111,11010338451,hospital,,,Mityana,0.27139970,32.14532400,,,,,,
Sky Pharmacy,3946191131,pharmacy,,,Mbale,1.07326955,34.17891612,"Republic Street, mbale",,,,,
SUUBI MEDICAL CLINIC,11001694562,clinic,,,Ssembabule,-0.24261004,31.49049024,,,,,,
KYABASAIJA HEALTH CENTRE III,7474547,hospital,,,Kakumiro,0.76061157,31.38075403,,,,,,
Odravu,5354389861,doctors,Life line,operational,Arua,2.82548512,30.99561019,,,,,,
Ssubi life care clinic,10967414986,clinic,,,Kampala,0.31633684,32.54174075,,,,,,
Ndara Doctors Clinic,9147833042,doctors,private,,Kampala,0.37175706,32.56878722,Kanyanya,,,,3,
MedWell Pharma LTD,4102399369,pharmacy,,,Kampala,0.29805029,32.60251642,"Ggaba Road, kampala",,,,,
LOROO HEALTH CENTRE II,11151230016,hospital,,,Amudat,2.21002636,34.88087939,,,,,,
Kasajja,4282479889,doctors,,,Mukono,0.37464614,32.68631164,,,,,,
Kabushaho Health Center III,3672042,clinic,,,Bushenyi,-0.59232257,30.18496666,,,,,,
ATIRA HC III,11073118397,hospital,,,Serere,1.60051649,33.51431569,,,,,,
Ajono Yivu,5354389848,doctors,No,operational,Arua,2.96137999,30.90797999,,,,,,
Healing Touch Drug Shop,10102817898,doctors,,,Gulu,2.75211966,32.30190399,,,,,,
MURAMA H/C II,6917089,clinic,,,Rukungiri,-0.92170496,29.86680529,,,,,,
Pell Pharma limited,4114323949,doctor,,,Kampala,0.32083599,32.57371787,"Bombo Road, Kampala",,,,,
Health Drug Shop,8274304209,pharmacy,private,,Kisoro,-1.23541336,29.71280668,,,,,2,
GOOD SAMARITAN SISTERS HEALTH CENTRE,11010338356,hospital,,,Mukono,0.38988393,32.76676853,,,,,,
Saidina Umar Health Centre,3955128191,clinic,,,Mbale,1.06678850,34.17597013,mbale,,,,,
HEALTH CENTRE II,11001478507,clinic,,,Kanungu,-0.86963364,29.77889967,,,,,,
AYIPE HC III,8543976,hospital,,,Koboko,3.55443426,30.92070825,,,,,,
Health trust pharmacy,10736298495,pharmacy,,,Hoima,1.43297289,31.35037500,,,,,,
NAMABEYA HEALTH CENTRE,11001694770,hospital,,,Gomba,0.14401572,31.88471655,,,,,,
GARASOYA HEALTH CENTRE II,11029993049,clinic,,,Buliisa,1.73018286,31.42216759,,,,,,
Ntandi Health Centre III,1898078,hospital,public,operational,Bundibugyo,0.80050826,30.14443170,,,,,,
KABEMBE H/UNIT II,11056451893,clinic,,,Jinja,0.51960336,33.24216510,,,,,,
AKINO,11066741276,hospital,,,Madi Okollo,2.72919373,31.19171739,,,,,,
St. Kizito Health Center,8560816918,hospital,,,Wakiso,0.47591277,32.67100755,,,,,,
DISPENSARY,11010338361,hospital,,,Mpigi,0.19195359,32.31571242,,,,,,
KIKAATSI H/C 111,11007309001,hospital,,,Kiruhura,-0.36417764,30.80902215,,,,,,
BUDINI HEALTHCENTRE III,11056452171,clinic,,,Kaliro,0.91696583,33.51387597,,,,,,
BETHLEHEM HEALTH CENTRE II,11001694546,clinic,,,Kyotera,-0.57704714,31.46273022,,,,,,
EWADRI,11054940400,hospital,,,Arua,3.06863432,30.96584639,,,,,,
St. Francis Health III Ocodri,5299223123,clinic,Belgian Technical Corporation,operational,Arua,3.07424492,31.06667825,,,,True,,
MARTYRS ANTENATAL,11010338309,clinic,,,Kampala,0.30133516,32.64777677,,,,,,
MUSHANGA,11007309019,hospital,,,Sheema,-0.56900017,30.35035963,,,,,,
New Life Dental Centre,9126238723,dentist,,,Mbale,1.07579695,34.17645653,,,,,,
Bussi Health Center III,1700596,hospital,Wakiso District Local Government,,Wakiso,0.04116784,32.30949816,,,,,,
Munyonyo General Clinic,4107571600,clinic,,,Kampala,0.24649706,32.61389074,"Salaama Road, kampala",,,,,
PAMAKA HEALTH CENTRE II,11066741256,hospital,,,Nebbi,2.37712647,31.11763972,,,,,,
KASHONGI HEALTH CENTRE III,6568629,hospital,,,Kiruhura,-0.28537400,30.64560723,,,,,,
NSANJE HEALTH CENTRE II,11010338107,clinic,,,Kiboga,0.81991697,31.96561574,,,,,,
KAKOOLA H/C II,11073166811,hospital,,,Nakasongola,1.23444114,32.64657346,,,,,,
Pi Lwak Clinic,10102769136,doctors,,,Gulu,2.76514908,32.29945605,,,,,,
Drcki Shop,5306806509,doctors,Amangwa Summary,operational,Madi Okollo,3.12748643,31.37841322,,,,,,
Chihe Health Centre II,6057241,clinic,government,,Kisoro,-1.26274666,29.68225699,,,,,3,
A Email Medical Services,10583475455,clinic,private,,Hoima,1.43436538,31.35242856,Hoima,,,,,
J Plus,3946191099,pharmacy,,,Mbale,1.07404085,34.17772044,"Republic Street, Mbale",,,,,
St. Shevon Medical Center,8453954420,clinic,,,Maracha,3.32172145,30.94301165,Koboko - Arua Road,,,,,
NOAH MEDICAL CLINIC,11066739678,hospital,,,Pakwach,2.46178236,31.50167656,,,,,,
Trinity Drug Shop,10583475438,pharmacy,private,,Hoima,1.44073822,31.34562162,Hoima,,,,,
NAMUSITA HEALTH CENTRE 2,11056452459,clinic,,,Budaka,1.06065236,33.98412496,,,,,,
God's Mercy Drug Shop,10147626094,pharmacy,private,operational,Bundibugyo,0.64959829,30.04313824,,,,,,
KYAMAGOMA H/C II,11001654298,clinic,,,Bukomansimbi,-0.28722138,31.68064285,,,,,,
Medical Clinic,2922835,doctors,,,Kampala,0.39960283,32.58218108,"Gayaza road, kampala",,,,,
PAROLINYA HEALTH CENTRE 111,11054959822,hospital,,,Obongi,3.48527375,31.65502197,,,,,,
LIRA PALWO HC II,11080417495,hospital,,,Agago,2.78399068,33.16643988,,,,,,
EDPA Medical services,10734531425,hospital,private,,Hoima,1.43003663,31.35419673,,,,,,
KYAMBOGHO,11001734126,clinic,,,Kasese,0.03124032,29.73767763,,,,,,
Kathel Medical Centre,3602397,clinic,,,Rwampara,-0.72336658,30.37255148,,,,,,
KAHUNDE HEALTH CENTRE II,2942771,clinic,,,Kagadi,0.91387417,30.89531527,,,,,,
Quality Health Care Clinic and Laboratory Services,3990240803,doctors,,,Tororo,0.79333536,34.17322615,Molo,,,,,
JJKK Human Drug Shop,8274304215,pharmacy,private,,Kisoro,-1.27867504,29.74159324,,,,,2,
ST DENIS H/C III,11001694655,hospital,,,Kyotera,-0.52025857,31.65638278,,,,,,
KANYARYERU HC III,11007309017,hospital,,,Kiruhura,-0.52476275,30.82208678,,,,,,
Nyapea Hospital,8632128768,hospital,private,,Zombo,2.46066966,30.94984902,,,,,22,
FAMILY PLANNING CLINIC,11010338108,clinic,,,Kampala,0.33741213,32.58221436,,,,,,
BUMASEKE H/L III,11056451918,hospital,,,Sironko,1.17225337,34.38494212,,,,,,
KITOKOLO,11010338164,hospital,,,Kassanda,0.61303107,31.88529414,,,,,,
Afia Clinic,8336695381,doctors,private,,Kisoro,-1.28283482,29.69326319,,,,,3,
Okuvu,5354389841,doctors,,operational,Arua,2.95072274,30.93262798,,,,,,
R4 medical clinic,10058403212,clinic,,,Masaka,-0.34647498,31.73818822,,,,,,
Line Drug Shop,3954021734,clinic,,,Sironko,1.15958622,34.29620124,"Buyobo Road, Buyobo",,,,,
Ishongororo Health Centre IV,7717350,hospital,,,Ibanda,0.04938965,30.49893624,,,,,,
Royal Drug Shop,5789318192,doctors,Private,operational,Adjumani,3.18029997,31.65681327,,,,,1,
Kabaya Drug Shop,8274342548,pharmacy,private,,Kisoro,-1.31660441,29.73511822,,,,,1,
RUGAAGA HEALTH CENTRE II,4981146,hospital,,,Ibanda,-0.17708141,30.59386096,,,,,,
Juru Health Centre III,1757598,clinic,MTI,operational,Isingiro,-0.83131963,30.91571456,,,,True,,
MULAGO-MBARARA JOINT HOSPITAL,11007308968,hospital,,,Mbarara,-0.61156683,30.65993400,,,,,,
Asante Medical Clinic,8591802322,clinic,,,Wakiso,0.43574828,32.60174956,,,,,,
NALWEYO HC III,7289707,hospital,,,Kakumiro,1.11914295,31.26124595,,,,,,
ST CATHERINE,11010338446,hospital,,,Kampala,0.32467398,32.57359064,,,,,,
KASASA,11001694606,hospital,,,Kyotera,-0.72552165,31.51171297,,,,,,
BUTENDE HEALTH CENTRE II,4295935,clinic,,,Butambala,0.03697706,31.88577644,,,,,,
Blue Clinics Kireka Center,8412285117,clinic,,,Wakiso,0.34260975,32.64478744,,,,,,
MATUME,11054959855,hospital,,,Yumbe,3.52064572,31.10544615,,,,,,
KOTIDO HC II,11080473439,hospital,,,Kotido,2.99481297,34.11244846,,,,,,
MEDI-SAFE MEDICAL CENTRE,11010338146,hospital,,,Mukono,0.36939588,32.70924889,,,,,,
NUTRITITION UNIT,11056452389,clinic,,,Bulambuli,1.26310315,34.26933196,,,,,,
Signs Pharmacy,8616707618,pharmacy,,,Wakiso,0.43850383,32.60286494,,,,,,
Katera Bemerwa,5639737529,pharmacy,Private,operational,Kikuube,1.13987827,30.71745162,,,,,1,
MUKONO H. CENTRE,11010338112,hospital,,,Mukono,0.36089596,32.74708547,,,,,,
BUKASA,11010338438,hospital,,,Kalangala,-0.41475907,32.50934955,,,,,,
Holly Trinity Drug Shop,10583475479,clinic,private,,Hoima,1.41826760,31.37031027,Hoima,,,,,
HC III,11073118333,hospital,,,Kwania,2.07408203,32.67677723,,,,,,
Vine Pharmacy,8460246120,pharmacy,,,Kampala,0.35468866,32.61204932,Bukoto Ntinda Road,,,,,
KIBUNDAIRE,11056452274,clinic,,,Jinja,0.61558034,33.13955275,,,,,,
MS family health clinic,8420653118,clinic,,,Mukono,0.40810787,32.69427009,,,,,,
NYAMUNUKA MEDICAL CENTRE (CLINIC),11001478493,clinic,,,Ntungamo,-0.83875186,30.09370559,,,,,,
Ariwa Health Centre IV,5559515003,clinic,Ministry Of Health;Action against Hunger,operational,Yumbe,3.24306374,31.39515825,,,,True,31,
ST VICENT DRUG SHOP,11001478334,pharmacy,,,Kanungu,-0.78263611,29.75450246,,,,,,
BUNDEGE HOSPITAL,11056451885,clinic,,,Sironko,1.19718082,34.19346249,,,,,,
KANYANTOROGO HEALTH CENTRE II,11001446294,clinic,,,Kanungu,-0.82425503,29.70881723,,,,,,
Life Line Drug Shop,10583475472,pharmacy,private,,Hoima,1.43441894,31.35215179,Hoima,,,,,
Medical Centre,4095690796,clinic,,,Luwero,0.68419426,32.52366718,,,,,,
BASIRIKA,11010338351,clinic,,,Kampala,0.30028508,32.57664098,,,,,,
TSETSEFLY CONTROL UNIT,11056451919,clinic,,,Buvuma,0.30347213,33.28887199,,,,,,
KAIHURA VIRAMARA H/C II,11029992938,clinic,,,Kyenjojo,0.64326769,30.58448027,,,,,,
NAMATALE HEALTHCENTRE II,11056451840,clinic,,,Buvuma,0.16828075,33.18528793,,,,,,
Mooni Drug Shop,3955045764,clinic,,,Mbale,1.06110054,34.20130058,"Mooni Road, Mbale",,,,,
BBIRA,11010338355,clinic,,,Wakiso,0.32852446,32.49852516,,,,,,
BUGEMBE,11056451976,clinic,,,Jinja,0.46436997,33.23723830,,,,,,
TASO HEALTH UNIT,11151161589,hospital,,,Katakwi,2.05628926,33.97758398,,,,,,
Go Pharmacy,4040429576,pharmacy,,,Jinja,0.43453266,33.21221337,"Main Street, Jinja Central Division",,,,,
MITANDI,11001734080,clinic,,,Kabarole,0.61471382,30.16022169,,,,,,
BUDADIRI MISSION H/CENTRE,11056452363,clinic,,,Sironko,1.17061639,34.32919149,,,,,,
MISHENYI HEALTH CENTRE II,5415632,clinic,,,Kanungu,-0.89953692,29.85890627,,,,,,
YCS DISPENSARY,3805433,hospital,,,Kampala,0.28529170,32.56571986,,,,,,
Astra Pharma Uganda Limited,4124066927,pharmacy,,,Kampala,0.31425092,32.57694248,kampala,,,,,
HEALTH CENTRE 11,11001734117,clinic,,,Bundibugyo,0.66081764,30.04756833,,,,,,
KITOJO CHURCH OF UGANDA HEALTH CENTRE II,11001478328,clinic,,,Rukungiri,-0.86883225,29.94156282,,,,,,
NYAMIRAMA HC II,11001734153,clinic,,,Kasese,0.07833865,29.99122492,,,,,,
Glanhor Medical Clinic,10102833324,doctors,,,Gulu,2.75491427,32.30264495,,,,,,
BUWAMA HEALTH UNIT III,11001694805,hospital,,,Mpigi,0.06133420,32.10695508,,,,,,
Ayiko A,5328918860,doctors,,operational,Arua,3.00350668,30.82909824,,,,,,
ST BERNADINE,11010338172,clinic,,,Kampala,0.36112378,32.55544482,,,,,,
HEALTH CENTRE II,11029992810,clinic,,,Ssembabule,0.11839074,31.09842907,,,,,,
Kadama Health Centre 3,4219317,doctors,,,Kibuku,1.01619684,33.88681987,"Tirinyi Road, Kadama",,,,,
Life Testimony,10102721858,doctors,,,Gulu,2.74356124,32.30281527,,,,,,
RUTI HEALTH CENTRE II,11007309034,hospital,,,Mbarara,-0.63346958,30.61902218,,,,,,
VURRA HEALTH CTR III,11066739701,hospital,,,Arua,2.90748234,30.88120627,Arua,,,,,
LORUKUMO HEALTH CENTRE II,11151161588,hospital,,,Moroto,2.56589372,34.66162238,,,,,,
BUNJAKO HEALTH UNIT II,11001694581,clinic,,,Mpigi,-0.05578781,32.13349009,,,,,,
Namuembi Medical Centre,2061346357,doctors,,,Manafwa,0.95333684,34.28248769,,,,,,
HEALTH CENTRE 11,11010338283,clinic,,,Mityana,0.31207238,32.14986774,,,,,,
KANAMBA HEALTH CENTRE III,9282386,hospital,,,Kasese,0.22567365,30.19554924,,,,,,
Mulungi drug store,8489630618,pharmacy,,,Mukono,0.37436819,32.68575819,,,,,,
Kira Health centre lll,4258427076,hospital,government hospital,,Wakiso,0.40038017,32.63922018,,,,,,
ORUNGO HC III,3792293,hospital,,,Amuria,2.04138096,33.45318077,,,,,,
Uleppi Trading Centre,5354389857,doctors,,operational,Madi Okollo,2.77426323,31.03740328,,,,,,
KICWAMBA HEALTH CENTRE II,11007285492,hospital,,,Mbarara,-0.73497217,30.61610779,,,,,,
Mupaka Drug Shop,6759234878,pharmacy,Private,operational,Kisoro,-1.16195176,29.58356327,,,,,2,
The Total Care Clinic,8515876720,clinic,,,Wakiso,0.39085959,32.65852354,,,,,,
Faith,3966436761,doctors,,,Budaka,1.04104398,34.02264282,"Jinja Mbale, Naboa",,,,,
ST MATIA MULUMBA,11029992817,hospital,,,Kassanda,0.45696506,31.66402229,,,,,,
Drug Shop,6750035908,doctors,,operational,Kanungu,-0.98365091,29.61644137,,,,,1,
HEALTH CENTRE II,11056452208,clinic,,,Bulambuli,1.30649022,34.25559444,,,,,,
Namude Pharmacy,3995629931,pharmacy,,,Butaleja,0.91709785,33.96025062,,,,,,
Top care medical center,8631094122,clinic,,,Wakiso,0.39113309,32.55045507,Bombo Road,,,,,
Okuyo Health Centre II,3425533,clinic,Government of Uganda,,Yumbe,3.30933249,31.33227537,,,,,,
MUKONGORO,11056452164,hospital,,,Kumi,1.32325789,33.88651024,,,,,,
Serenity Centre,5463922570,clinic,,,Wakiso,0.16768169,32.53803779,,,,,,
Kibuku Health Centre II,3968670373,doctors,,,Kibuku,1.04666262,33.80567265,"Palisa Road, Kibuku Town Council",,,,,
MOROTO HOSPITAL,11151161537,hospital,,,Moroto,2.53158835,34.65618018,,,,,,
Metro Health Centre,11016745105,clinic,,,Wakiso,0.27853907,32.47528550,Kampala - Masaka Road,,,,,
ST ANTHONY,11056452276,hospital,,,Tororo,0.68366159,34.17990820,,,,,,
Beatrice Tierney Health Centre,8597201325,pharmacy,,,Namisindwa,0.90237713,34.37931460,,,,,,
Citronate Pharmacy,8684522920,pharmacy,,,Kampala,0.37896198,32.57655607,Gayaza Road,,,,,
BUNYIIRO HEALTH CENTRE II,9689044,clinic,,,Iganga,0.68776596,33.46613475,,,,,,
Mutima medical Center,8684522823,clinic,,,Kampala,0.38447233,32.57729929,Gayaza Road,,,,,
BULUMWAKI HEALTH CENTRE II,11056452287,clinic,,,Iganga,0.71233726,33.47008254,,,,,,
Bupoto Healthy Center,3953772732,clinic,,,Namisindwa,0.90732120,34.35721185,Manafa,,,,,
Bukere Outpost III,6210374891,doctors,AHA,yes,Kyegegwa,0.39698500,31.09190669,,,,,2,
St Mary'S Clinic,10583475450,clinic,private,,Hoima,1.43950499,31.34486323,Hoima,,,,,
MOLO,11056452206,clinic,,,Tororo,0.84000412,34.17404715,,,,,,
BIKONE HEALTH CENTRE II,4933214,clinic,,,Kasese,0.35394334,30.07228203,,,,,,
Braakline Clinic,1227831,clinic,,,Kampala,0.37655076,32.57672178,Gayaza Road,,,,,
Grace Laboratories,8441176717,hospital,,,Iganga,0.61516418,33.47939408,,,,,,
A And B Jose Drug Shop,10102653184,doctors,,,Gulu,2.81251404,32.30732909,,,,,,
Adumi Health Centre IV,10020547615,hospital,,,Arua,3.01372422,30.90023386,,,,,,
Platinum pharmacy,10908571509,pharmacy,,,Hoima,1.43008206,31.35365132,,,,,,
Attiak H/ Centre IV,5456940774,doctor,,,Amuru,3.25545462,32.12068632,,,,,,
Living Hope Medical Clinic,3995426871,doctors,,,Tororo,0.65954778,34.14838638,"Kampala Road, Osukuru",,,,,
Kabweri Health Centre II,3968713206,doctors,,,Kibuku,1.04473764,33.88264979,"Kabweri, Kabweri",,,,,
HEALTH CENTRE III,11029992983,hospital,,,Hoima,1.44243698,31.46465755,,,,,,
Afear Bora Drug Shop,10147636119,pharmacy,private,operational,Bundibugyo,0.86683962,30.17330224,,,,,,
MUZITO,11010338069,clinic,,,Mukono,0.30112142,32.77838165,,,,,,
Roja Drug Shop,10023482326,doctors,,,Arua,3.02376088,30.91077485,,,,,,
BUHANDA,11001734219,clinic,,,Bundibugyo,0.73179048,30.05218533,,,,,,
ODRAKA,11066739669,hospital,,,Madi Okollo,2.83275625,31.12219604,,,,,,
Divine Drug Shop Muni,10020547582,doctors,,,Arua,2.98821508,30.93218450,,,,,,
Afayo Unity Drug Shop,5594324673,pharmacy,Private,operational,Yumbe,3.53859163,31.25495994,,,,,1,
BUYAMBI HEALTH UNIT,11010338053,hospital,,,Mityana,0.51106672,32.03763834,,,,,,
Gichara Health Centre II,7681631,clinic,Government;ICCM,operational,Yumbe,3.48092816,31.11293429,,,,,2,
NABUKALU,11056451909,clinic,,,Bugiri,0.64790037,33.73001189,,,,,,
Honest Medical Center,9909142415,doctor,,,Lira,2.26064903,32.90113597,,,,,,
HEALTH CENTRE 111,11001694585,hospital,,,Kyotera,-0.46079626,31.60093347,,,,,,
New computer lab,9867844544,laboratory,,,Kabale,-1.27145831,29.98541492,,,,,,
Human Blessed Drug Shop,8274342534,pharmacy,private,,Kisoro,-1.31552751,29.78328466,,,,,1,
KIKANDWA,11010338333,clinic,,,Mityana,0.63350378,32.11266970,,,,,,
KIHEMBO DISPENSARY,11001734100,clinic,,,Kabarole,0.63172154,30.25470963,,,,,,
BELIAFE,11054959848,hospital,,,Madi Okollo,3.07339759,31.28221202,,,,,,
MOYO MISSION,11054940373,hospital,,,Moyo,3.65756042,31.71476458,,,,,,
LIFE CARE HEALTH CLINIC,11001694553,clinic,,,Kalungu,-0.14399636,31.87776233,,,,,,
KF Pharmacy,8453962621,pharmacy,,,Kiryandongo,1.95465902,32.14245295,Gulu - Kampala Road,,,,,
TUKU HEALTH CENTRE II,11054959841,hospital,,,Arua,3.10861558,31.02750803,,,,,,
NYONGOZI HEALTH CENTRE II,4217152,clinic,,,Ntungamo,-0.78420604,30.32645210,,,,,,
Micu Health Centre,5309760257,clinic,Micu Catholic Church,operational,Arua,3.11305254,30.86412948,,,,True,,
ST JOSEPH,11010338045,clinic,,,Kampala,0.34170978,32.57633085,,,,,,
Nickel Pharmacy,4064824712,pharmacy,,,Kampala,0.32794620,32.57397587,"Bombo Road, Kampala",,,,,
Parl Medical Clinic,10583475412,clinic,private,,Hoima,1.41986980,31.33936989,Hoima,,,,,
Kristo Pharmacy,8440769021,pharmacy,,,Adjumani,3.37791859,31.79265458,,,,,,
Justine's Drug Shop,3998032244,pharmacy,,,Bugiri,0.50781052,33.77763745,Kapyanga,,,,,
MALONGO,11056452062,clinic,,,Mayuge,0.22630305,33.48519226,,,,,,
ST. JUDE PEOPLES CLINIC,11001478443,clinic,,,Rukungiri,-0.98126475,29.98558373,,,,,,
Rock Vision Pharma,9909257640,doctors,,,Lira,2.21743010,32.89906404,,,,,,
APWORI HEALTH CENTRE III,6571255,hospital,,,Kwania,1.84652443,32.70151105,,,,,,
BISINA HEALTH CENTRE II,9303642,hospital,,,Katakwi,1.85063189,34.06775155,,,,,,
ST ANTHONY,11010338194,clinic,,,Kampala,0.29124519,32.58120367,,,,,,
KASHAKA,11007309039,hospital,,,Rubirizi,-0.14291124,30.03291223,,,,,,
